,correlation,mutual_info,lasso_coef,rf_importance,mean_rank
windspeed_roll_mean_14,0.27402101599586015,0.06152178996645841,0.0,0.0015455032687299935,74.125
humidity_roll_mean_28,0.19841321399332745,0.14314814027705136,0.0,0.001218247834060892,75.375
humidity_roll_mean_7,0.099061634862432,0.0618464845166109,0.0,0.0018065002118543192,77.375
windspeed_roll_mean_7,0.1822261371735288,0.06668733728348819,0.0,0.0015128825080461363,77.375
windspeed_roll_std_7,0.10108923955831406,0.05390484824892461,0.0,0.0017518339389278896,79.875
is_summer,0.3738524669434991,0.08631046273537946,0.0,3.301939143030902e-05,80.125
cloudcover_roll_std_7,0.13576860470433455,0.07805622021792935,0.0,0.0014716309543048266,80.125
windspeed,0.052364018760001706,0.008989126870205588,0.0,0.002389099568552863,80.875
humidity_roll_mean_21,0.17583695597369922,0.09422695890683563,0.0,0.0011756309587049915,81.625
cloudcover_roll_mean_56,0.00857757991222368,0.1565684766144786,0.0,0.0013963048924481496,81.875
winddir_cos_lag7,0.1871030403964795,0.034651811915733965,0.0,0.001382533209095017,82.375
winddir_cos_lag1,0.28028874409934634,0.03553379877449725,0.0,0.001219221944835335,82.875
winddir_cos_lag3,0.2099492682836948,0.015551292427090857,0.0,0.0013656534616241123,84.375
is_winter,0.294125490707842,0.08233610639793865,0.0,1.810501252214048e-05,84.375
precipprob,0.11317437640567919,0.024273154570978672,0.0021214793765804334,0.00010387833583333872,84.5
cloudcover_lag7,0.09624602149104972,0.04586601083162023,0.0,0.0016002484716826995,84.875
precip_lag1,0.15059371067259755,0.05465524650455089,0.0,0.001183110825247219,87.375
humidity_roll_mean_14,0.1313208921374,0.0831479873449803,0.0,0.001011386157747757,88.375
humidity_lag7,0.07963405694052225,0.025081973519566425,0.0,0.0015324275005868617,88.625
humidity,0.09786234215303001,0.07365172353723892,0.0,0.001093066901826073,89.875
precip_lag3,0.16247511541684967,0.046726810599825974,0.0,0.0010798863158867041,90.125
moonphase,0.005930077323414549,0.0,0.0,0.0017549461690535594,90.5
precip_lag7,0.17286058630667572,0.025679114418859506,0.0,0.0011157148334500046,90.625
humidity_lag1,0.08473919232302499,0.030837806881491403,0.0,0.0013708209173971663,90.875
winddir_sin_lag1,0.01154431430230512,0.048835822123756145,0.0,0.0013805991432140306,91.375
humidity_lag3,0.07316685494437,0.04640399239361326,0.0,0.00123285082804316,92.125
winddir_sin_lag7,0.0067217445113212535,0.051258392638128925,0.0,0.0013523068972612772,92.375
winddir_sin_lag3,0.009123466451749856,0.0198799025043499,0.0,0.0014704192326871987,92.875
year,0.09555662496905287,0.051298443938066374,0.0,0.0005286398593813351,95.125
winddir_sin,0.023172252837218337,0.055721335197961075,0.0,0.0010310905981734842,95.375
windspeed_lag7,0.1092392180806114,0.009965716762078358,0.0,0.0010684407798604606,96.625
windspeed_lag3,0.10109816474608477,0.016401996619345827,0.0,0.001001632666614182,97.375
windspeed_lag1,0.06865584691221459,0.016847720683466516,0.0,0.0010479441444582128,98.375
precipcover,0.03274913000393695,0.03122419312066027,0.0,0.0008805248188477325,99.375
is_weekend,0.0020142209763082336,0.0,0.0,0.0001256917412173074,106.0
